NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy
43014001,AUTRAC,45.328667,3.131833,807,10,0,18.4,14.529999999999998,30.2,27.07,21.240000000000002
43020002,BAS-EN-BASSET,45.319667,4.129,446,10,0,12.9,10.000000000000002,33.3,29.97,20.13
43037001,LE BOUCHET-ST-NICOLAS,44.885,3.7905,1218,10,0,14.6,10.879999999999999,26.7,24.25,17.809999999999995
43046001,LE PUY-CHADRAC,45.054667,3.8945,714,10,0,13.2,10.580000000000002,32.2,29.089999999999996,20.240000000000002
43062001,LE PUY-LOUDES,45.0745,3.764,833,10,0,12.4,9.4,29.9,27.1,18.86
43067001,CHAVANIAC-LAFAYETTE,45.1595,3.582,715,10,0,14.2,11.05,31.6,29.580000000000002,20.27
43071001,CHOMELIX,45.2575,3.826833,886,10,0,10.9,7.859999999999999,29.8,27.22,18.04
43091005,LES ESTABLES_SAPC,44.9005,4.161,1350,10,0,12.2,8.8,24.7,22.66,16.16
43093001,FELINES_SAPC,45.265833,3.742833,1014,10,0,11.2,7.980000000000001,28.1,26.060000000000002,17.580000000000002
43095001,FIX-ST-GENEYS,45.145833,3.665,1102,10,0,14.5,11.489999999999998,27.8,25.550000000000004,18.589999999999996
43096001,FONTANNES,45.300333,3.419667,435,10,0,15.2,11.02,34.2,31.170000000000005,21.54
43104001,GREZES,44.9205,3.4905,1106,10,0,16.2,11.389999999999999,28.2,25.21,18.630000000000003
43111002,LANDOS-CHARBON,44.858,3.843667,1148,10,0,13.9,9.98,25.8,23.990000000000002,17.41
43118001,LAVOUTE-CHILHAC,45.155833,3.41,491,10,0,13.6,9.76,32.8,30.169999999999998,20.29
43130002,MAZET-VOLAMONT,45.025,4.239833,1130,10,0,16.0,12.52,25.8,23.98,18.4
43137003,MONISTROL-SUR-LOIRE,45.314,4.231167,777,10,0,16.1,12.88,30.4,27.35,20.35
43150001,LE PERTUIS_SAPC,45.098833,4.061333,1020,10,0,15.3,11.899999999999999,28.4,26.35,19.080000000000002
43162001,RETOURNAC,45.203833,4.030167,535,10,0,13.6,10.470000000000002,33.0,29.829999999999995,20.19
43212002,ST-PAL-DE-CHALENCON,45.344833,3.9665,960,10,0,17.0,13.440000000000001,29.5,26.299999999999994,19.96
43223001,ST-ROMAIN-LACHALM,45.2615,4.3275,902,10,0,12.5,9.32,29.2,26.369999999999997,18.150000000000002
43234005,SAUGUES-SA,44.966167,3.539833,945,10,0,9.7,6.39,29.2,26.369999999999997,17.440000000000005
43241002,SOLIGNAC-SUR-LO,44.973667,3.882667,832,10,0,12.8,10.43,29.1,26.95,19.220000000000006
43244003,TENCE,45.1165,4.277167,848,10,0,11.6,8.389999999999999,29.3,26.73,17.900000000000002
43246001,TIRANGES,45.268333,3.998667,603,10,0,13.1,9.92,35.2,31.689999999999998,20.31
