NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NTrop_5j_max,TnMoy_5j_max
5098001,LES ORRES,44.508833,6.559333,1457,0.0,8.34
5101001,PELVOUX,44.866833,6.486667,1270,0.0,7.140000000000001
5110001,PUY-ST-VINCENT,44.828833,6.492667,1388,0.0,10.4
5120002,RISTOLAS,44.765667,6.9845,1670,0.0,4.5
5126001,ROSANS,44.3875,5.462167,625,0.0,11.36
5136002,ST CREPIN,44.7045,6.6,906,0.0,9.26
5139006,AGNIERES-EN-DEVOLUY,44.696167,5.880833,1244,0.0,7.18
5142001,ST FIRMIN,44.7825,6.035,935,0.0,11.760000000000002
5145002,ST JEAN-ST-NICOLAS,44.670833,6.209833,1210,0.0,11.860000000000001
5158001,LE SAIX,44.475833,5.8155,801,0.0,10.2
5170001,TALLARD,44.452167,6.033333,593,0.0,12.56
5179001,VEYNES,44.536333,5.840667,823,0.0,11.7
5181002,VILLAR D'ARENE,45.030833,6.361667,1665,0.0,5.12
5182001,VILLAR LOUBIERE,44.826833,6.146,1072,0.0,11.040000000000001
5183001,VILLAR ST PANCRACE,44.880333,6.640333,1310,0.0,10.120000000000001
6004002,ANTIBES-GAROUPE,43.564667,7.133,75,4.0,20.52
6004004,ANTIBES-GOLF,43.579667,7.091167,13,1.0,17.740000000000002
6004009,ANTIBES_SAPC,43.599167,7.111167,32,0.0,17.240000000000002
6005001,ASCROS,43.922,7.013667,1173,0.0,16.740000000000002
6016001,BEUIL-OBS,44.089833,6.988,1464,0.0,11.959999999999999
6029001,CANNES,43.5565,6.9505,2,0.0,18.0
6033002,CARROS_SAPC,43.786667,7.209167,78,2.0,19.46
6037002,CAUSSOLS,43.752333,6.923167,1268,0.0,15.7
6038001,CHATEAUNEUF GRASSE,43.678333,6.996167,379,3.0,19.839999999999996
6050002,COURSEGOULES_SAPC,43.792,7.0485,985,0.0,16.0
6059003,EZE,43.738833,7.365833,704,3.0,20.660000000000004
6071001,GUILLAUMES-OBS,44.090667,6.852333,788,0.0,11.54
6073005,ISOLA 2000,44.1895,7.149,1912,0.0,7.0
6074005,LANTOSQUE_SAPC,43.972,7.307,550,0.0,13.9
6075007,LEVENS,43.846333,7.21,691,0.0,17.22
6077006,PEIRA CAVA,43.929167,7.363333,1443,0.0,15.059999999999999
6079002,MANDELIEU LA NAPOULE_SAPC,43.523667,6.898667,104,0.0,18.419999999999998
6081001,LE MAS,43.813667,6.809333,1525,0.0,14.9
6083005,MENTON,43.785833,7.488667,216,4.0,22.18
6086001,MOULINET,43.942,7.414667,817,0.0,15.26
6088001,NICE,43.648833,7.209,2,4.0,21.48
6088007,NICE-RIMIEZ,43.738667,7.279167,238,2.0,19.720000000000002
6090002,PEGOMAS,43.602667,6.936667,109,0.0,18.68
6091003,PEILLE,43.775167,7.428333,1106,0.0,16.8
6094002,PEONE,44.099667,6.930833,1784,0.0,12.679999999999998
6099004,PUGET THENIERS_SAPC,43.956833,6.892333,449,0.0,14.720000000000002
6102001,RIMPLAS_SAPC,44.067167,7.1335,1130,0.0,16.9
6103002,BERTHEMONT-LES-BAINS_SAPC,44.044333,7.300833,938,0.0,17.360000000000003
6118002,ST CEZAIRE SUR SIAGNE,43.678667,6.809,694,0.0,17.08
6120004,ST ETIENNE DE TINEE_SAPC,44.257667,6.921167,1150,0.0,12.739999999999998
6125001,ST MARTIN D'ENTRAUNES_SAPC,44.154667,6.747,1642,0.0,13.2
6136005,SOSPEL,43.862833,7.433667,843,2.0,19.46
6152002,VALBONNE-SOPHIA,43.623167,7.0285,238,5.0,22.380000000000003
6153400,MILLEFONTS-NIVOSE,44.118333,7.192,2430,0.0,8.860000000000001
6163001,TENDE-OBS,44.086667,7.595,792,0.0,11.559999999999999
6163007,TENDE_SAPC,44.043167,7.586,636,0.0,14.4
7005001,ALBA LA ROMAINE,44.539833,4.5825,223,1.0,16.52
7010001,ANNONAY,45.246167,4.6705,336,0.0,14.520000000000001
7011002,ANTRAIGUES,44.719167,4.352167,428,0.0,13.780000000000001
7019005,AUBENAS SA,44.601667,4.409833,176,0.0,14.74
7025001,BARNAS RAD,44.666,4.159833,480,0.0,15.3
7032002,BERZEME RAD,44.628333,4.566333,650,1.0,17.86
7033001,BESSAS,44.34,4.298667,251,2.0,18.7
7064001,CHEYLARD SA,44.914833,4.4375,418,0.0,14.02
7066001,CHOMERAC SA_RCE,44.6995,4.648333,216,0.0,15.8
7068001,COLOMBIER JEUNE RAD,45.0155,4.671167,566,1.0,19.380000000000003
7075001,CROS GEORAND,44.780167,4.099667,1021,0.0,8.319999999999999
7096001,GLUIRAS RAD,44.839333,4.524,760,0.0,18.44
7099001,GRAS,44.429,4.5655,341,0.0,15.0
7101001,GROSPIERRES,44.411333,4.300833,127,0.0,13.780000000000001
7105001,ISSANLAS,44.773167,3.981667,1215,0.0,11.9
7105003,ISSANLAS_SAPC,44.7555,3.975333,1264,0.0,12.7
7117002,LABLACHERE,44.480833,4.208333,295,0.0,17.220000000000002
7128001,LALOUVESC,45.117833,4.535,1090,0.0,16.440000000000005
7131001,LANAS SYN,44.537167,4.368167,265,0.0,15.48
7153001,MAYRES,44.667167,4.113,579,0.0,14.98
7154005,MAZAN ABBAYE RAD,44.733833,4.083833,1240,0.0,13.38
7159001,MIRABEL SA,44.5815,4.497333,275,0.0,16.14
7161001,MONTPEZAT SA,44.715667,4.207,602,1.0,18.76
7168001,ORGNAC AVEN,44.288333,4.421667,230,1.0,17.74
7172002,PEAUGRES RAD,45.286167,4.705833,480,1.0,19.24
7187001,CROIX MILLET,44.606333,4.241333,779,2.0,19.580000000000002
7202002,SABLIERES OARA,44.533,4.0725,540,0.0,18.44
7204008,ST-AGREVE RAD,44.997833,4.368,1014,0.0,13.379999999999999
7232001,ST-ETIENNE LUGDARES,44.651333,3.9485,1022,0.0,7.12
7240001,ST-GEORGES BAIN,44.860333,4.8325,112,0.0,17.16
7261001,ST-LAURENT PAPE,44.817833,4.746833,112,0.0,14.719999999999999
7265001,ST-MARCEL ANNONAY,45.296,4.642,494,0.0,15.16
7279001,ST-MONTAN,44.441833,4.636333,130,2.0,17.919999999999998
7286002,ST-PIERREVILLE,44.814333,4.485,560,0.0,13.559999999999999
7301002,ST-VICTOR,45.110167,4.682333,557,2.0,19.5
7315004,LA SOUCHE,44.6285,4.123667,924,0.0,16.26
7331001,VALS-LES-BAINS,44.6695,4.360667,283,0.0,15.180000000000001
7334004,LES VANS-SA,44.4155,4.150833,140,0.0,13.4
7338001,VERNOUX,44.8995,4.652333,561,0.0,15.239999999999998
7347001,VOCANCE,45.201167,4.554333,529,0.0,15.1
8046001,BANOGNE-RECOUVRANCE,49.571667,4.129167,130,0.0,16.4
8089003,BUZANCY_SAPC,49.427333,4.9645,199,0.0,15.2
8105005,CHARLEVILLE-MEZ,49.782833,4.643167,145,0.0,10.52
8116001,LE CHESNE,49.510333,4.766167,168,0.0,14.02
8145001,DOUZY,49.658,5.039833,153,0.0,11.98
8207001,HAM-SUR-MEUSE,50.116,4.7795,109,0.0,13.419999999999998
8239001,JUNIVILLE,49.397333,4.371667,90,0.0,12.54
8244001,LAMETZ_SAPC,49.536667,4.689667,165,0.0,14.12
8248002,LAUNOIS-SUR-VENCE_SAPC,49.671833,4.534667,218,0.0,14.12
8254002,LIART_SAPC,49.7655,4.340333,240,0.0,14.9
8255001,LINAY,49.616833,5.216833,177,0.0,11.56
8296002,MONTCHEUTIN_SAPC,49.287333,4.809667,142,0.0,13.739999999999998
8353001,RANCENNES,50.118833,4.813167,162,0.0,11.92
8367002,ROCROI,49.918667,4.53,382,0.0,15.339999999999998
8401001,SAULCES-CHAMPENOISES,49.423833,4.4925,147,0.0,15.460000000000003
8419001,SIGNY-L'ABBAYE,49.686,4.418833,180,0.0,13.86
8420002,SIGNY-LE-PETIT_SAPC,49.9135,4.288167,309,0.0,14.420000000000002
9023002,ASCOU LAVAIL,42.725333,1.8885,1090,0.0,8.22
9024004,ASTON,42.724167,1.691,1781,0.0,12.7
9027001,AUGIREIN,42.930167,0.92,655,0.0,13.64
9047001,BELESTA,42.903833,1.936667,490,0.0,10.639999999999999
9094001,CERIZOLS,43.126,1.063,374,0.0,11.900000000000002
9099001,COS,42.970167,1.5645,519,0.0,14.66
9161003,LERAN,42.990333,1.919167,391,0.0,11.7
9181003,LE MAS D AZIL,43.0735,1.357667,293,0.0,12.719999999999999
9199002,MONTAUT,43.192167,1.6435,295,0.0,16.6
9285400,PORT D'AULA-NIVOSE,42.77,1.114333,2140,0.0,9.22
9289001,ST GIRONS,43.005333,1.106833,414,0.0,13.059999999999999
9290400,SENTEIN EYLIE HAUT,42.835333,0.934667,1000,0.0,10.875
9301001,SOULAN,42.914667,1.234333,638,0.0,12.379999999999999
9328001,VERDUN,42.791667,1.689833,546,0.0,11.8
10002001,AILLEVILLE_SAPC,48.254167,4.685667,195,0.0,13.36
10021001,AVANT-LES-RAMERUPT,48.451333,4.283667,118,0.0,12.780000000000001
10030001,TROYES-BARBEREY,48.324667,4.02,112,0.0,13.14
10042001,BERULLE,48.179,3.663333,146,0.0,11.16
10057001,BOUY-SUR-ORVIN,48.439833,3.504833,102,0.0,14.280000000000001
10070001,CELLES-SUR-OURCE,48.0675,4.411333,275,0.0,16.360000000000003
10099002,CHESSY-LES-PRES_SAPC,48.0255,3.915,119,0.0,12.34
10119001,CUNFIN_SAPC,48.0365,4.6785,315,0.0,16.44
10130001,DOSNON,48.609167,4.224667,115,0.0,12.88
10166002,GRANDES-CHAPELL,48.468167,4.016833,111,0.0,13.780000000000001
10228002,MATHAUX-ETAPE,48.353167,4.472333,145,0.0,14.440000000000001
10238001,MESNIL-ST-PERE,48.244833,4.322167,142,0.0,14.16
10241001,METZ-ROBERT_SAPC,48.0745,4.101167,140,0.0,11.34
10261001,MUSSY-SUR-SEINE,47.983833,4.495833,193,0.0,12.28
10323001,ROMILLY,48.503333,3.7495,77,0.0,13.0
10350001,ST-MARDS,48.169833,3.789,227,0.0,14.9
10372001,SOULAINES,48.399333,4.671333,138,0.0,13.280000000000001
10401001,VENDEUVRE-SUR-B,48.233,4.463,180,0.0,12.459999999999999
10419001,VILLEMOYENNE,48.1785,4.233833,134,0.0,12.239999999999998
11004001,ALAIGNE,43.1125,2.098333,293,0.0,17.840000000000003
11012001,ARGELIERS,43.308167,2.911667,31,0.0,14.339999999999998
11015001,ARQUES,42.951833,2.374833,350,0.0,11.56
