NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy,lcz_source,lcz_category,lcz_dom_100m,lcz_dom_300m,lcz_dom_500m,ZONE
03125001,LA GUILLERMIE,45.984667,3.639833,722,10,0,17.5,14.49,30.3,27.520000000000003,21.15,demuzere,non_bati,12.0,12,12,
03130002,ISLE-ET-BARDAIS,46.663333,2.730167,262,10,0,16.0,13.010000000000002,34.2,30.21,21.51,demuzere,non_bati,11.0,11,11,Bassin parisien Sud/Centre
03155003,LURCY-LEVIS SA,46.718333,2.947667,225,10,0,12.3,10.15,33.1,30.11,21.03,demuzere,non_bati,14.0,14,14,Bassin parisien Sud/Centre
03162001,MARIGNY,46.581667,3.195833,249,10,0,12.6,9.81,33.3,30.26,20.84,demuzere,non_bati,14.0,14,14,Bassin parisien Sud/Centre
03180001,MONTBEUGNY,46.536333,3.423167,275,10,0,15.2,12.09,33.6,30.440000000000005,21.92,demuzere,non_bati,14.0,14,14,Bassin parisien Sud/Centre
03185007,MONTLUCON,46.355167,2.574667,229,10,0,13.4,9.5,33.7,30.49,21.16,demuzere,non_bati,14.0,14,14,Bassin parisien Sud/Centre
03204001,PARAY-SOUS-BRIAILLES,46.2835,3.337833,250,10,0,13.9,10.74,33.9,30.819999999999997,21.450000000000003,demuzere,non_bati,14.0,14,14,Bassin parisien Sud/Centre
03226001,SAINT DIDIER_SAPC,46.365333,3.850167,293,10,0,13.7,11.01,33.1,29.69,20.69,demuzere,non_bati,14.0,14,14,Bassin parisien Sud/Centre
03240001,ST-LEON,46.4025,3.685833,378,10,0,19.4,16.189999999999998,33.0,30.01,23.42,demuzere,non_bati,9.0,9,14,Bassin parisien Sud/Centre
03248001,ST-NICOLAS,46.0515,3.805167,1022,10,0,17.9,13.63,27.0,23.989999999999995,18.96,demuzere,non_bati,12.0,12,11,
03285001,TORTEZAIS_SAPC,46.451333,2.857,256,10,0,12.9,10.17,34.7,31.6,21.03,demuzere,non_bati,14.0,14,14,Bassin parisien Sud/Centre
03310001,VICHY-VILLE,46.117667,3.439,255,10,0,16.4,12.69,34.0,30.880000000000003,22.06,demuzere,urbain_aere,6.0,6,6,Bassin parisien Sud/Centre
03321001,YZEURE,46.579167,3.352833,242,10,0,14.8,11.77,34.9,31.47,22.23,demuzere,non_bati,14.0,14,14,Bassin parisien Sud/Centre
04006005,ALLOS_SAPC,44.2425,6.625333,1400,10,0,10.7,7.3199999999999985,26.7,24.160000000000004,15.11,demuzere,urbain_aere,6.0,6,6,
04019001,BARCELONNETTE,44.391167,6.670167,1155,10,0,8.3,4.69,29.8,27.3,16.47,demuzere,non_bati,14.0,12,12,
04022001,BARREME,43.957167,6.372333,743,10,0,11.0,7.159999999999999,31.7,29.04,18.009999999999998,demuzere,non_bati,9.0,9,12,
