zone,mai26,aou03,jun19,jul19,jul22,aou23
Aquitaine,3.1999999999999993,1.5,1.0,3.3999999999999986,1.0999999999999979,1.3999999999999986
Hauts-de-France,,3.599999999999998,,,,
Ile-de-France,6.700000000000003,4.5,0.8000000000000007,5.150000000000002,5.149999999999999,1.6500000000000021
Provence cotiere,4.300000000000001,,4.900000000000002,4.400000000000002,4.349999999999998,5.900000000000002
Rhone-Alpes vallee,4.399999999999999,4.200000000000003,4.199999999999999,5.0,2.3500000000000014,3.1999999999999993
