NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NTrop_glissant_max,TnMoy_glissant_max,window_days,episode
1014002,ARBENT,46.278167,5.669,534,0.0,14.4,5,vague-chaleur-juillet-2022
1027003,BALAN_AERO,45.833,5.106667,196,0.0,16.84,5,vague-chaleur-juillet-2022
1034004,BELLEY,45.769333,5.688,330,2.0,19.919999999999998,5,vague-chaleur-juillet-2022
1064001,VERIZIEU,45.777167,5.487167,281,1.0,17.84,5,vague-chaleur-juillet-2022
1071001,CESSY,46.310333,6.080333,507,1.0,19.0,5,vague-chaleur-juillet-2022
1072001,CEYZERIAT_SAPC,46.204333,5.287667,260,1.0,16.84,5,vague-chaleur-juillet-2022
1089001,AMBERIEU,45.9765,5.329333,250,1.0,16.78,5,vague-chaleur-juillet-2022
1143002,DIVONNE ZA,46.3415,6.139667,467,0.0,16.26,5,vague-chaleur-juillet-2022
1200002,LA BALME SUR CERDON_SAPC,46.09,5.482,596,0.0,16.7,5,vague-chaleur-juillet-2022
1235001,MARLIEUX,46.0385,5.044333,280,0.0,16.66,5,vague-chaleur-juillet-2022
1269001,NANTUA,46.148167,5.607333,483,1.0,17.48,5,vague-chaleur-juillet-2022
1367002,SAINT JULIEN SUR REYSSOUZE,46.403167,5.109833,189,0.0,17.080000000000002,5,vague-chaleur-juillet-2022
1384003,ST RAMBERT CG01,45.950333,5.461,296,0.0,17.18,5,vague-chaleur-juillet-2022
1414001,SUTRIEU,45.916167,5.624667,878,1.0,17.880000000000003,5,vague-chaleur-juillet-2022
2037002,AULNOIS-SS-LAON,49.595667,3.610333,78,0.0,15.6,5,vague-chaleur-juillet-2022
2058001,BEAURIEUX,49.390333,3.732667,56,0.0,16.06,5,vague-chaleur-juillet-2022
2094001,BLESMES,49.009667,3.462667,222,0.0,16.18,5,vague-chaleur-juillet-2022
2110002,BRAINE,49.351333,3.527,61,0.0,15.919999999999998,5,vague-chaleur-juillet-2022
2173002,CHAUNY,49.633833,3.197833,83,0.0,15.979999999999999,5,vague-chaleur-juillet-2022
2320001,ST QUENTIN,49.818333,3.206,98,0.0,15.680000000000001,5,vague-chaleur-juillet-2022
2321002,FONTAINE-LES-VV,49.837333,3.877833,186,1.0,16.96,5,vague-chaleur-juillet-2022
2346001,GIZY,49.599833,3.781,75,0.0,14.459999999999999,5,vague-chaleur-juillet-2022
2381001,HIRSON,49.922,4.077167,165,0.0,14.459999999999999,5,vague-chaleur-juillet-2022
2471001,MARTIGNY-COURPI,49.485667,3.693167,95,0.0,14.819999999999999,5,vague-chaleur-juillet-2022
2585001,PARCY-ET-TIGNY,49.280167,3.331,148,0.0,15.8,5,vague-chaleur-juillet-2022
2705001,NIZY-LE-COMTE,49.566,4.0365,90,0.0,15.26,5,vague-chaleur-juillet-2022
2738001,TERGNIER,49.663833,3.320667,59,0.0,15.780000000000001,5,vague-chaleur-juillet-2022
3036002,BOURBON_SAPC,46.58,3.0495,270,1.0,17.380000000000003,5,vague-chaleur-juillet-2022
3059001,CHAREIL-CINTRAT_SAPC,46.275833,3.225667,286,1.0,16.419999999999998,5,vague-chaleur-juillet-2022
3060001,VICHY-CHARMEIL,46.166667,3.398667,249,0.0,16.48,5,vague-chaleur-juillet-2022
3061001,CHARMES_SAPC,46.0635,3.233667,330,1.0,17.919999999999998,5,vague-chaleur-juillet-2022
3074001,CHEVAGNES,46.630667,3.549167,228,1.0,16.139999999999997,5,vague-chaleur-juillet-2022
3100001,DIOU,46.541667,3.706667,220,2.0,17.72,5,vague-chaleur-juillet-2022
3106002,DURDAT-LAREQUILLE,46.251667,2.695667,500,1.0,17.380000000000003,5,vague-chaleur-juillet-2022
3108001,ECHASSIERES_SAPC,46.191167,2.957667,650,2.0,18.68,5,vague-chaleur-juillet-2022
3114001,FERTE-HAUTERIVE,46.376833,3.331,226,0.0,16.1,5,vague-chaleur-juillet-2022
3125001,LA GUILLERMIE,45.984667,3.639833,722,1.0,17.3,5,vague-chaleur-juillet-2022
3130002,ISLE-ET-BARDAIS,46.663333,2.730167,262,0.0,16.799999999999997,5,vague-chaleur-juillet-2022
3155003,LURCY-LEVIS SA,46.718333,2.947667,225,0.0,15.560000000000002,5,vague-chaleur-juillet-2022
3162001,MARIGNY,46.581667,3.195833,249,1.0,16.419999999999998,5,vague-chaleur-juillet-2022
3180001,MONTBEUGNY,46.536333,3.423167,275,0.0,17.36,5,vague-chaleur-juillet-2022
3185007,MONTLUCON,46.355167,2.574667,229,0.0,15.3,5,vague-chaleur-juillet-2022
3204001,PARAY-SOUS-BRIAILLES,46.2835,3.337833,250,0.0,16.060000000000002,5,vague-chaleur-juillet-2022
3226001,SAINT DIDIER_SAPC,46.365333,3.850167,293,0.0,16.24,5,vague-chaleur-juillet-2022
3240001,ST-LEON,46.4025,3.685833,378,2.0,19.400000000000002,5,vague-chaleur-juillet-2022
3248001,ST-NICOLAS,46.0515,3.805167,1022,1.0,16.28,5,vague-chaleur-juillet-2022
3285001,TORTEZAIS_SAPC,46.451333,2.857,256,0.0,15.839999999999998,5,vague-chaleur-juillet-2022
3310001,VICHY-VILLE,46.117667,3.439,255,0.0,17.559999999999995,5,vague-chaleur-juillet-2022
3321001,YZEURE,46.579167,3.352833,242,2.0,16.919999999999998,5,vague-chaleur-juillet-2022
4006005,ALLOS_SAPC,44.2425,6.625333,1400,0.0,12.72,5,vague-chaleur-juillet-2022
4019001,BARCELONNETTE,44.391167,6.670167,1155,0.0,11.4,5,vague-chaleur-juillet-2022
4022001,BARREME,43.957167,6.372333,743,0.0,12.719999999999999,5,vague-chaleur-juillet-2022
4023001,BAYONS,44.342667,6.178667,886,0.0,13.940000000000001,5,vague-chaleur-juillet-2022
4039001,CASTELLANE,43.849167,6.508,729,0.0,14.040000000000001,5,vague-chaleur-juillet-2022
