episode_label,episode,ndays_nominal,n_stations,NTrop_abs_p90,NTrop_abs_max,NTrop_taux_p90,NTrop_taux_mean,TnMax_p90,TnMax_max,pct_saturation
aou03,canicule-aout-2003,15,2304,11.0,15,0.7333333333333333,0.2883884055759056,24.3,30.3,1.3020833333333335
aou23,canicule-aout-2023,11,1853,7.0,11,0.6363636363636364,0.21914776474949169,24.0,30.4,2.6443604964921748
jul19,vague-chaleur-juillet-2019,7,1933,4.0,7,0.5714285714285714,0.22792107013524496,24.0,28.5,1.396792550439731
jul22,vague-chaleur-juillet-2022,14,1808,5.0,14,0.35714285714285715,0.1294642857142857,23.6,28.5,1.7146017699115044
jun19,vague-chaleur-juin-2019,7,1918,4.0,7,0.5714285714285714,0.20631610308356918,23.8,29.0,0.31282586027111575
mai26,dome-chaleur-mai-2026,10,1844,1.0,7,0.1,0.028199566160520606,20.4,26.2,0.0
