NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy,NTrop_abs,NTrop_taux,episode,episode_label
1028001,BANEINS,46.122,4.9045,243,15,1,20.3,18.05333333333333,40.3,36.68,,1,0.06666666666666667,canicule-aout-2003,aou03
1033002,BELLEGARDE,46.0865,5.814167,350,15,0,18.0,15.773333333333335,39.5,35.76,25.380000000000003,0,0.0,canicule-aout-2003,aou03
1034004,BELLEY,45.769333,5.688,330,15,9,21.7,19.64,40.1,36.906666666666666,28.08,9,0.6,canicule-aout-2003,aou03
1037001,BENONCES,45.862333,5.484167,944,15,0,17.5,15.333333333333334,34.5,31.366666666666667,,0,0.0,canicule-aout-2003,aou03
1071001,CESSY,46.310333,6.080333,507,15,1,20.8,17.873333333333335,37.8,34.38666666666667,26.49333333333333,1,0.06666666666666667,canicule-aout-2003,aou03
1072001,CEYZERIAT_SAPC,46.204333,5.287667,260,15,1,20.3,17.313333333333336,39.0,35.34,26.606666666666676,1,0.06666666666666667,canicule-aout-2003,aou03
1089001,AMBERIEU,45.9765,5.329333,250,15,4,20.9,18.466666666666672,40.3,36.45333333333334,27.65333333333333,4,0.26666666666666666,canicule-aout-2003,aou03
1143001,DIVONNE,46.376667,6.156667,488,15,2,21.0,18.53333333333333,37.5,34.13333333333333,,2,0.13333333333333333,canicule-aout-2003,aou03
1174001,GIRON,46.23,5.7725,1015,15,0,18.0,15.066666666666666,36.5,33.3,,0,0.0,canicule-aout-2003,aou03
1204002,BURL,46.166667,5.706667,530,15,0,18.2,14.3,38.9,35.64666666666666,24.300000000000004,0,0.0,canicule-aout-2003,aou03
1224002,LOYETTES,45.8065,5.238333,198,15,1,20.5,17.066666666666666,43.0,38.73333333333333,,1,0.06666666666666667,canicule-aout-2003,aou03
1235001,MARLIEUX,46.0385,5.044333,280,15,0,19.9,17.44,41.3,36.806666666666665,,0,0.0,canicule-aout-2003,aou03
