NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy,NTrop_abs,NTrop_taux,episode,episode_label
3100001,DIOU,46.541667,3.706667,220,7,1,20.4,17.928571428571427,40.3,37.31428571428573,27.714285714285715,1,0.14285714285714285,vague-chaleur-juin-2019,jun19
3106002,DURDAT-LAREQUILLE,46.251667,2.695667,500,7,1,20.4,18.557142857142857,40.7,37.39999999999999,,1,0.14285714285714285,vague-chaleur-juin-2019,jun19
3108001,ECHASSIERES_SAPC,46.191167,2.957667,650,7,4,22.9,20.88571428571429,36.9,34.357142857142854,27.77142857142857,4,0.5714285714285714,vague-chaleur-juin-2019,jun19
3114001,FERTE-HAUTERIVE,46.376833,3.331,226,7,0,18.6,15.957142857142856,39.2,36.84285714285714,26.51428571428572,0,0.0,vague-chaleur-juin-2019,jun19
3130002,ISLE-ET-BARDAIS,46.663333,2.730167,262,7,2,21.4,19.071428571428573,39.2,36.34285714285715,27.3,2,0.2857142857142857,vague-chaleur-juin-2019,jun19
3149002,LOUCHY-MONTFAND,46.303667,3.241833,280,7,2,21.0,17.142857142857142,39.0,36.58571428571428,,2,0.2857142857142857,vague-chaleur-juin-2019,jun19
3155001,LURCY-LEVIS,46.730167,2.935167,206,7,0,19.1,16.52857142857143,39.2,36.84285714285714,,0,0.0,vague-chaleur-juin-2019,jun19
3155003,LURCY-LEVIS SA,46.718333,2.947667,225,7,0,19.7,16.314285714285713,40.0,37.07142857142857,27.314285714285717,0,0.0,vague-chaleur-juin-2019,jun19
3165001,MAYET-DE-MONTAG,46.076833,3.684,542,7,0,18.7,17.157142857142855,40.6,36.9,,0,0.0,vague-chaleur-juin-2019,jun19
3180001,MONTBEUGNY,46.536333,3.423167,275,7,2,21.5,18.642857142857142,39.2,36.65714285714285,27.62857142857143,2,0.2857142857142857,vague-chaleur-juin-2019,jun19
3185007,MONTLUCON,46.355167,2.574667,229,7,0,19.9,16.157142857142855,40.8,37.72857142857144,28.085714285714285,0,0.0,vague-chaleur-juin-2019,jun19
3186001,MONTMARAULT,46.314833,2.9525,466,7,3,21.0,19.1,39.5,36.3,28.04285714285714,3,0.42857142857142855,vague-chaleur-juin-2019,jun19
3204001,PARAY-SOUS-BRIAILLES,46.2835,3.337833,250,7,0,17.7,14.942857142857145,40.3,37.32857142857143,26.428571428571427,0,0.0,vague-chaleur-juin-2019,jun19
3226001,SAINT DIDIER_SAPC,46.365333,3.850167,293,7,0,19.3,15.957142857142856,39.3,36.44285714285714,26.442857142857143,0,0.0,vague-chaleur-juin-2019,jun19
3240001,ST-LEON,46.4025,3.685833,378,7,5,23.7,20.942857142857143,39.5,36.4,,5,0.7142857142857143,vague-chaleur-juin-2019,jun19
3248001,ST-NICOLAS,46.0515,3.805167,1022,7,3,24.7,20.042857142857144,33.5,30.52857142857143,25.65714285714285,3,0.42857142857142855,vague-chaleur-juin-2019,jun19
