NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NTrop_glissant_max,TnMoy_glissant_max,window_days,episode
1014002,ARBENT,46.278167,5.669,534,0.0,16.0,5,canicule-aout-2023
1027003,BALAN_AERO,45.833,5.106667,196,1.0,19.34,5,canicule-aout-2023
1033002,BELLEGARDE,46.0865,5.814167,350,0.0,17.98,5,canicule-aout-2023
1034004,BELLEY,45.769333,5.688,330,5.0,21.540000000000003,5,canicule-aout-2023
1064001,VERIZIEU,45.777167,5.487167,281,1.0,19.62,5,canicule-aout-2023
1071001,CESSY,46.310333,6.080333,507,5.0,21.1,5,canicule-aout-2023
1072001,CEYZERIAT_SAPC,46.204333,5.287667,260,1.0,19.139999999999997,5,canicule-aout-2023
1089001,AMBERIEU,45.9765,5.329333,250,3.0,19.94,5,canicule-aout-2023
1143002,DIVONNE ZA,46.3415,6.139667,467,0.0,16.82,5,canicule-aout-2023
1185006,HAUTEVILLE_EDF_RIC-A2-DOUBLON,45.979667,5.598167,805,0.0,16.26,5,canicule-aout-2023
1200002,LA BALME SUR CERDON_SAPC,46.09,5.482,596,3.0,20.139999999999997,5,canicule-aout-2023
1235001,MARLIEUX,46.0385,5.044333,280,2.0,19.54,5,canicule-aout-2023
1247003,MIJOUX,46.378833,6.019333,1002,0.0,13.040000000000001,5,canicule-aout-2023
1269001,NANTUA,46.148167,5.607333,483,2.0,19.080000000000002,5,canicule-aout-2023
1367002,SAINT JULIEN SUR REYSSOUZE,46.403167,5.109833,189,2.0,19.720000000000002,5,canicule-aout-2023
1384003,ST RAMBERT CG01,45.950333,5.461,296,0.0,19.02,5,canicule-aout-2023
1414001,SUTRIEU,45.916167,5.624667,878,2.0,19.1,5,canicule-aout-2023
2037002,AULNOIS-SS-LAON,49.595667,3.610333,78,1.0,16.580000000000002,5,canicule-aout-2023
2058001,BEAURIEUX,49.390333,3.732667,56,1.0,17.32,5,canicule-aout-2023
2094001,BLESMES,49.009667,3.462667,222,1.0,17.279999999999998,5,canicule-aout-2023
2110002,BRAINE,49.351333,3.527,61,1.0,16.979999999999997,5,canicule-aout-2023
2173002,CHAUNY,49.633833,3.197833,83,1.0,16.48,5,canicule-aout-2023
2320001,ST QUENTIN,49.818333,3.206,98,1.0,16.22,5,canicule-aout-2023
2321002,FONTAINE-LES-VV,49.837333,3.877833,186,1.0,17.2,5,canicule-aout-2023
